2026-08-05 11:01:45 INFO     services.eventbridge: [DISCOVER]  Found 0 custom event buses, 0 rules, 0 archives, 0 custom schema registries, 0 schemas
2026-08-05 11:01:45 INFO     services.rds: [DISCOVER]  Found 1 DB clusters and 2 DB instances
2026-08-05 11:01:46 INFO     services.ec2: [DISCOVER]  Found 0 instances, 0 volumes, 0 snapshots, 0 networking resources
2026-08-05 11:01:46 INFO     orchestrator: Inventory written to logs/reports/070640552464/ap-south-1/inventory.json
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'apigateway' because discovery failed: Service 'apigateway' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'application_autoscaling' because discovery failed: Service 'application_autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'autoscaling' because discovery failed: Service 'autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 INFO     orchestrator: Cleaning up service: cloudformation
2026-08-05 11:01:46 INFO     services.cloudformation: [CLEANUP]   No CloudFormation stacks to delete
2026-08-05 11:01:46 INFO     orchestrator: Cleaning up service: ec2
2026-08-05 11:01:46 INFO     services.ec2: [CLEANUP]   No EC2 resources to delete
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'ecr' because discovery failed: Service 'ecr' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 INFO     orchestrator: Cleaning up service: ecs
2026-08-05 11:01:46 INFO     services.ecs: [CLEANUP]   No ECS resources to delete
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'eks' because discovery failed: Service 'eks' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'elasticbeanstalk' because discovery failed: Service 'elasticbeanstalk' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'elb' because discovery failed: Service 'elb' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 INFO     orchestrator: Cleaning up service: eventbridge
2026-08-05 11:01:46 INFO     services.eventbridge: [CLEANUP]   No EventBridge resources to delete
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'iam' because discovery failed: Service 'iam' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'kms' because discovery failed: Service 'kms' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 WARNING  orchestrator: [WARN]      Skipping cleanup for 'lambda' because discovery failed: Service 'lambda' is a placeholder and has not been implemented yet.
2026-08-05 11:01:46 INFO     orchestrator: Cleaning up service: rds
2026-08-05 11:01:46 INFO     services.rds: [CLEANUP]   Deleted DB instance database-1-instance-1
2026-08-05 11:01:46 INFO     services.rds: [WAIT]      Waiting for DB instance deletion: database-1-instance-1
2026-08-05 11:01:46 INFO     services.rds: [CLEANUP]   Deleted DB instance k
2026-08-05 11:01:46 INFO     services.rds: [WAIT]      Waiting for DB instance deletion: k
2026-08-05 11:01:46 INFO     services.rds: [WAIT]      RDS instance 'database-1-instance-1' deletion ... (0s elapsed)
2026-08-05 11:01:46 INFO     services.rds: [WAIT]      RDS instance 'k' deletion ... (0s elapsed)
2026-08-05 11:02:01 INFO     services.rds: [WAIT]      RDS instance 'database-1-instance-1' deletion ... (15s elapsed)
2026-08-05 11:02:02 INFO     services.rds: [WAIT]      RDS instance 'k' deletion ... (15s elapsed)
2026-08-05 11:02:17 INFO     services.rds: [WAIT]      RDS instance 'database-1-instance-1' deletion ... (30s elapsed)
